ArpCode,lat,lon
BGN,51.2,6.133333333
BGO,60.3,5.216666667
BGP,2.166666667,10.21666667
BGQ,61.53333333,149.8166667
BGR,44.8,68.81666667
BGS,32.38333333,101.4833333
BGT,34.56666667,113.1833333
BGU,4.783333333,22.8
BGV,29.16666667,51.51666667
BGW,33.28333333,44.5
BGX,31.38333333,54.11666667
BGY,45.66666667,9.7
BGZ,41.58333333,8.45
BHA,0.583333333,80.4
BHB,44.45,68.36666667
BHC,33.925,73.43333333
BHD,54.61666667,5.866666667
BHE,41.51666667,173.8666667
BHF,6.55,77.33333333
BHG,15.83333333,84.83333333
BHH,19.98333333,42.65
BHI,38.71666667,62.18333333
BHJ,23.28333333,69.66666667
BHK,39.76666667,64.48333333
BHL,28.95,113.55
BHM,33.56666667,86.75
BHN,14.78333333,45.73333333
BHO,23.28333333,77.33333333
BHP,27.16666667,87.05
BHQ,32,141.4666667
BHR,27.68333333,84.41666667
BHS,33.41666667,149.65
BHT,23.5,141.6333333
BHU,21.75,72.18333333
BHV,29.35,71.71666667
BHW,32.06666667,72.95
BHX,52.45,1.75
BHY,21.48333333,109.0833333
BHZ,19.91666667,43.93333333
BIA,42.55,9.483333333
BIB,3.066666667,43.8
BIC,57.66666667,157.5833333
BID,41.16944444,71.58333333
BIE,40.31666667,96.75
BIF,31.80277778,106.3861111
BIG,64,145.7333333
BIH,37.36666667,118.35
BII,11.58333333,165.3833333
BIJ,5.583333333,146.35
BIK,1.2,136.1
BIL,45.8,108.5333333
BIM,25.7,79.28333333
BIN,34.8,67.81666667
BIO,43.3,2.916666667
BIP,16.15,143.75
BIQ,43.46666667,1.533333333
BIR,26.48333333,87.26666667
BIS,46.78333333,100.75
BIT,29.53333333,80.43333333
BIU,65.83333333,23.98333333
BIV,6.533333333,21.98333333
BIW,19.58333333,127.6333333
BIX,30.4,88.91666667
BIY,32.9,27.28333333
BIZ,5.283333333,142.0166667
BJA,36.71666667,5.066666667
BJC,39.93333333,105.0666667
BJD,66.06666667,14.75
BJF,70.6,29.66666667
BJG,0.933333333,124.1666667
BJH,29.55,81.25
BJI,47.51666667,94.93333333
BJJ,40.8,81.93333333
BJK,6.083333333,134.25
BJL,13.35,16.66666667
BJM,3.316666667,29.31666667
BJN,17.18333333,37.95
BJO,22.86666667,64.33333333
BJR,11.58333333,37.31666667
BJS,39.88611111,116.2833333
BJU,29.35,81.3
BJV,37.25,27.68333333
